index,t,x,y,z,yaw_deg,gear,vx,vy,wz
295,184.964,4.0455,10.0534,-1.2428,66.167,4t4d,0.199,0.0,0.0
296,185.176,4.0599,10.0861,-1.2429,66.096,4t4d,0.184,0.0,0.0
297,185.389,4.0741,10.119,-1.2429,66.055,4t4d,0.176,0.0,0.0
298,185.596,4.0883,10.1523,-1.2428,66.021,4t4d,0.169,0.0,0.0
299,185.812,4.1013,10.1834,-1.2425,66.036,4t4d,0.182,0.0,0.0
300,186.026,4.1154,10.2177,-1.2429,66.346,4t4d,0.208,0.0,0.0
301,186.235,4.1358,10.2674,-1.2423,66.461,4t4d,0.161,0.0,0.0
302,186.444,4.1426,10.2847,-1.2422,66.488,4t4d,0.161,0.0,0.0
303,186.654,4.1639,10.3357,-1.2422,66.486,4t4d,0.182,0.0,0.0
304,186.867,4.1776,10.3688,-1.2422,66.449,4t4d,0.167,0.0,0.0
305,187.075,4.1917,10.403,-1.2416,66.839,4t4d,0.192,0.0,0.0
306,187.286,4.2059,10.438,-1.2414,67.214,4t4d,0.167,0.0,0.0
307,187.497,4.2188,10.47,-1.242,67.178,4t4d,0.175,0.0,0.0
308,187.717,4.2389,10.5207,-1.2422,67.447,4t4d,0.192,0.0,0.0
309,187.927,4.2521,10.5534,-1.2426,67.478,4t4d,0.191,0.0,0.0
310,188.138,4.2592,10.5708,-1.2421,67.436,4t4d,0.204,0.0,0.0
311,188.349,4.2796,10.6221,-1.2406,67.463,4t4d,0.193,0.0,0.0
312,188.557,4.2927,10.6538,-1.2412,67.422,4t4d,0.181,0.0,0.0
313,188.772,4.3132,10.7065,-1.2414,67.401,4t4d,0.189,0.0,0.0
314,188.986,4.3272,10.7429,-1.2423,67.594,4t4d,0.182,0.0,0.0
315,189.198,4.3415,10.78,-1.2414,67.646,4t4d,0.186,0.0,0.0
316,189.433,4.3546,10.8139,-1.2417,67.715,4t4d,0.201,0.0,0.0
317,189.644,4.3749,10.8663,-1.2422,68.286,4t4d,0.179,0.0,0.0
318,189.856,4.3873,10.8988,-1.2423,68.322,4t4d,0.191,0.0,0.0
319,190.063,4.393,10.9135,-1.242,68.358,4t4d,0.2,0.0,0.0
320,190.271,4.4117,10.9651,-1.2421,68.378,4t4d,0.185,0.0,0.0
321,190.484,4.4243,10.9986,-1.2426,68.371,4t4d,0.197,0.0,0.0
322,190.694,4.4368,11.0321,-1.2425,68.369,4t4d,0.202,0.0,0.0
323,190.931,4.4555,11.0801,-1.2428,68.351,4t4d,0.167,0.0,0.0
